國文,英文,數學,社會,自然
6,6,10,11,8
6,15,15,13,13
11,13,10,7,11
10,11,10,6,13
9,15,6,8,7
14,15,6,8,13
6,13,15,15,8
7,12,6,6,12
14,8,6,14,8
11,12,12,6,10
14,7,9,11,11
14,13,8,12,6
10,10,8,11,13
12,11,12,10,9
8,15,9,8,13
12,6,15,7,11
7,15,12,11,11
14,6,13,11,14
15,10,11,9,13
11,12,6,9,8
12,9,6,11,10
12,9,12,11,7
15,7,11,14,8
9,15,12,10,9
9,6,10,10,7
15,6,8,13,15
14,11,7,11,10
11,11,7,12,14
9,7,12,10,12
10,15,12,12,10
11,11,8,9,9
7,12,13,9,9
9,7,8,14,7
15,9,9,12,15
10,11,11,14,7
6,15,10,11,11
15,10,9,9,13
9,15,8,6,14
7,13,13,13,13
15,6,11,10,11
14,8,12,13,7
11,7,7,9,8
9,15,11,14,9
9,15,7,8,10
12,10,10,11,8
12,12,14,7,14
6,12,8,13,14
14,6,13,12,11
7,7,8,14,14
7,14,14,9,12
7,14,9,7,15
15,8,15,13,12
7,14,10,15,10
6,15,13,11,13
8,10,9,12,13
15,6,6,6,10
10,6,14,9,13
9,9,7,7,11
13,15,10,11,11
12,10,7,14,10
6,15,7,6,15
7,11,9,8,12
13,13,10,13,9
15,14,7,8,10
15,9,9,10,9
8,6,15,11,10
12,9,9,13,14
7,12,13,8,8
6,9,11,13,7
10,14,10,10,9
7,9,9,11,11
8,7,15,10,9
6,10,11,14,10
10,12,9,9,15
14,9,11,12,12
11,8,9,14,6
8,15,12,12,12
11,9,14,8,7
11,13,10,14,15
9,15,7,6,12
7,15,15,13,14
14,10,8,9,12
8,13,15,7,10
11,9,8,7,11
11,11,14,10,8
6,12,12,12,10
14,13,7,10,6
6,12,8,7,9
14,15,7,10,8
11,8,9,7,13
7,15,11,8,7
6,14,12,11,11
8,7,10,7,8
14,14,7,6,6
7,6,12,14,6
8,6,8,12,8
6,9,9,6,15
10,8,11,13,7
7,15,15,13,11
6,14,7,9,7
